id,p_normalized,beta
ik-2,0.014671,-4.221850
st-1,0.022953,-3.774300
db-bm-1,0.013138,-4.332281
rh-1,0.016950,-4.077479
lcc-kk-1,0.011792,-4.440329
tcn-tcn-1,0.024588,-3.705490
db-1,0.042498,-3.158300
ik-5,0.064732,-2.737501
kg-kg-2,0.011722,-4.446317
rh-2,0.028416,-3.560796
st-3,0.007487,-4.894544
bi-hot-2,0.020303,-3.896977
ik-3,0.017114,-4.067854
ik-1,0.012119,-4.413016
bi-hot-1,0.017480,-4.046683
kg-kg-3,0.025167,-3.682215
rh-3,0.035154,-3.348007
db-bm2-1,0.030276,-3.497415
lcc-kk-2,0.031244,-3.465917
dbt-rinsed-1,0.024343,-3.715526
db-pii-1,0.026695,-3.623295
sjb-cdl-2,0.024104,-3.725384
db-rch-1,0.037129,-3.293357
ik-4,0.033729,-3.389400
bi-hot-3,0.037341,-3.287657
sjb-cdl-1,0.037163,-3.292440
cn-1,0.048526,-3.025654
kg-kg-1,0.022405,-3.798478
bo-benzo,0.019153,-3.955294
dh-fucking-your-girl,0.011946,-4.427352
dh-neon-kitchen,0.066598,-2.709073
cc-vanished,0.013815,-4.282011
ia-asleep-among-endives,0.015399,-4.173467
ss-fantasy,0.008541,-4.762903
bo-minetta-creek,0.011313,-4.481846
cc-knights,0.009873,-4.617941
ia-iam-pod-0,0.004941,-5.310204
bo-orlando,0.012462,-4.385104
bo-youre-not-good-enough,0.032580,-3.424052
ss-genocide,0.008674,-4.747467
bo-always-let-you-down,0.019035,-3.961467
ia-dawn-in-the-adan,0.026432,-3.633193
