,bi-hot-1,bi-hot-2,bi-hot-3,bo-always-let-you-down,bo-benzo,bo-minetta-creek,bo-orlando,bo-youre-not-good-enough,cc-knights,cc-vanished,cn-1,db-1,db-bm-1,db-bm2-1,db-pii-1,db-rch-1,dbt-rinsed-1,dh-fucking-your-girl,dh-neon-kitchen,ia-asleep-among-endives,ia-dawn-in-the-adan,ia-iam-pod-0,ik-1,ik-2,ik-3,ik-4,ik-5,kg-kg-1,kg-kg-2,kg-kg-3,lcc-kk-1,lcc-kk-2,rh-1,rh-2,rh-3,sjb-cdl-1,sjb-cdl-2,ss-fantasy,ss-genocide,st-1,st-3,tcn-tcn-1
bi-hot-1,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,34.000000,34.000000,34.000000,1.000000,67.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,67.000000,34.000000,67.000000,1.000000,1.000000,1.000000,1.000000,1.000000,67.000000,1.000000
bi-hot-2,1.000000,0.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,34.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,34.000000,67.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000
bi-hot-3,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,34.000000,1.000000,1.000000,1.000000,1.000000,34.000000,34.000000,1.000000,34.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,34.000000
bo-always-let-you-down,1.000000,34.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,34.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000
bo-benzo,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000
bo-minetta-creek,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,34.000000,34.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000
bo-orlando,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,0.000000,1.000000,1.000000,1.000000,34.000000,34.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
bo-youre-not-good-enough,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,34.000000,1.000000,1.000000,34.000000,1.000000,34.000000,67.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,67.000000,1.000000,1.000000,34.000000,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000
cc-knights,34.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,67.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,100.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,34.000000,34.000000,1.000000
cc-vanished,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,34.000000,1.000000,1.000000,34.000000,34.000000,34.000000,1.000000,1.000000,34.000000,34.000000,1.000000,34.000000,1.000000,1.000000,34.000000,1.000000,1.000000,34.000000,1.000000,1.000000,1.000000,34.000000,1.000000
