id1,id2,value
ik-1,ik-2,0.95
ik-1,ik-3,0.9
ik-1,ik-4,0.85
ik-1,db-1,0.7
ik-1,db-2,0.65
ik-1,db-3,0.6
ik-1,st-1,0.5
ik-1,st-2,0.45
ik-1,st-3,0.4
ik-1,ca-1,0.35
ik-1,ca-2,0.35
ik-1,rh-1,0.3
ik-1,rh-2,0.28
ik-1,rh-3,0.27
ik-1,fo-1,0.25
ik-1,fo-2,0.25
ik-2,ik-3,0.95
ik-2,ik-4,0.9
ik-2,db-1,0.75
ik-2,db-2,0.7
ik-2,db-3,0.65
ik-2,st-1,0.55
ik-2,st-2,0.5
ik-2,st-3,0.45
ik-2,ca-1,0.4
ik-2,ca-2,0.38
ik-2,rh-1,0.35
ik-2,rh-2,0.33
ik-2,rh-3,0.3
ik-2,fo-1,0.28
ik-2,fo-2,0.27
ik-3,ik-4,0.95
ik-3,db-1,0.8
ik-3,db-2,0.75
ik-3,db-3,0.7
ik-3,st-1,0.6
ik-3,st-2,0.55
ik-3,st-3,0.5
ik-3,ca-1,0.45
ik-3,ca-2,0.42
ik-3,rh-1,0.4
ik-3,rh-2,0.38
ik-3,rh-3,0.35
ik-3,fo-1,0.32
ik-3,fo-2,0.3
ik-4,db-1,0.85
ik-4,db-2,0.8
ik-4,db-3,0.75
ik-4,st-1,0.65
ik-4,st-2,0.6
ik-4,st-3,0.55
ik-4,ca-1,0.5
ik-4,ca-2,0.47
ik-4,rh-1,0.45
ik-4,rh-2,0.42
ik-4,rh-3,0.4
ik-4,fo-1,0.35
ik-4,fo-2,0.33
db-1,db-2,0.95
db-1,db-3,0.9
db-1,st-1,0.6
db-1,st-2,0.55
db-1,st-3,0.5
db-1,ca-1,0.6
db-1,ca-2,0.58
db-1,rh-1,0.45
db-1,rh-2,0.42
db-1,rh-3,0.4
db-1,fo-1,0.35
db-1,fo-2,0.33
db-2,db-3,0.95
db-2,st-1,0.55
db-2,st-2,0.5
db-2,st-3,0.48
db-2,ca-1,0.58
db-2,ca-2,0.56
db-2,rh-1,0.42
db-2,rh-2,0.4
db-2,rh-3,0.38
db-2,fo-1,0.34
db-2,fo-2,0.32
db-3,st-1,0.5
db-3,st-2,0.48
db-3,st-3,0.46
db-3,ca-1,0.55
db-3,ca-2,0.53
db-3,rh-1,0.4
db-3,rh-2,0.38
db-3,rh-3,0.36
db-3,fo-1,0.33
db-3,fo-2,0.31
st-1,st-2,0.95
st-1,st-3,0.9
st-1,ca-1,0.7
st-1,ca-2,0.68
st-1,rh-1,0.4
st-1,rh-2,0.38
st-1,rh-3,0.36
st-1,fo-1,0.35
st-1,fo-2,0.34
st-2,st-3,0.95
st-2,ca-1,0.68
st-2,ca-2,0.65
st-2,rh-1,0.38
st-2,rh-2,0.36
st-2,rh-3,0.35
st-2,fo-1,0.34
st-2,fo-2,0.33
st-3,ca-1,0.66
st-3,ca-2,0.64
st-3,rh-1,0.36
st-3,rh-2,0.35
st-3,rh-3,0.34
st-3,fo-1,0.33
st-3,fo-2,0.32
ca-1,ca-2,0.95
ca-1,rh-1,0.45
ca-1,rh-2,0.44
ca-1,rh-3,0.43
ca-1,fo-1,0.4
ca-1,fo-2,0.39
ca-2,rh-1,0.44
ca-2,rh-2,0.43
ca-2,rh-3,0.42
ca-2,fo-1,0.39
ca-2,fo-2,0.38
rh-1,rh-2,0.95
rh-1,rh-3,0.9
rh-1,fo-1,0.5
rh-1,fo-2,0.48
rh-2,rh-3,0.95
rh-2,fo-1,0.48
rh-2,fo-2,0.46
rh-3,fo-1,0.47
rh-3,fo-2,0.45
fo-1,fo-2,0.95
