 ,ik-1,ik-2,ik-3,ik-4,db-1,db-2,db-3,st-1,st-2,st-3,ca-1,ca-2,rh-1,rh-2,rh-3,fo-1,fo-2
ik-1,1,0.95,0.9,0.85,0.7,0.65,0.6,0.5,0.45,0.4,0.35,0.35,0.3,0.28,0.27,0.25,0.25
ik-2,0.95,1,0.95,0.9,0.75,0.7,0.65,0.55,0.5,0.45,0.4,0.38,0.35,0.33,0.3,0.28,0.27
ik-3,0.9,0.95,1,0.95,0.8,0.75,0.7,0.6,0.55,0.5,0.45,0.42,0.4,0.38,0.35,0.32,0.3
ik-4,0.85,0.9,0.95,1,0.85,0.8,0.75,0.65,0.6,0.55,0.5,0.47,0.45,0.42,0.4,0.35,0.33
db-1,0.7,0.75,0.8,0.85,1,0.95,0.9,0.6,0.55,0.5,0.6,0.58,0.45,0.42,0.4,0.35,0.33
db-2,0.65,0.7,0.75,0.8,0.95,1,0.95,0.55,0.5,0.48,0.58,0.56,0.42,0.4,0.38,0.34,0.32
db-3,0.6,0.65,0.7,0.75,0.9,0.95,1,0.5,0.48,0.46,0.55,0.53,0.4,0.38,0.36,0.33,0.31
st-1,0.5,0.55,0.6,0.65,0.6,0.55,0.5,1,0.95,0.9,0.7,0.68,0.4,0.38,0.36,0.35,0.34
st-2,0.45,0.5,0.55,0.6,0.55,0.5,0.48,0.95,1,0.95,0.68,0.65,0.38,0.36,0.35,0.34,0.33
st-3,0.4,0.45,0.5,0.55,0.5,0.48,0.46,0.9,0.95,1,0.66,0.64,0.36,0.35,0.34,0.33,0.32
ca-1,0.35,0.4,0.45,0.5,0.6,0.58,0.55,0.7,0.68,0.66,1,0.95,0.45,0.44,0.43,0.4,0.39
ca-2,0.35,0.38,0.42,0.47,0.58,0.56,0.53,0.68,0.65,0.64,0.95,1,0.44,0.43,0.42,0.39,0.38
rh-1,0.3,0.35,0.4,0.45,0.45,0.42,0.4,0.4,0.38,0.36,0.45,0.44,1,0.95,0.9,0.5,0.48
rh-2,0.28,0.33,0.38,0.42,0.42,0.4,0.38,0.38,0.36,0.35,0.44,0.43,0.95,1,0.95,0.48,0.46
rh-3,0.27,0.3,0.35,0.4,0.4,0.38,0.36,0.36,0.35,0.34,0.43,0.42,0.9,0.95,1,0.47,0.45
fo-1,0.25,0.28,0.32,0.35,0.35,0.34,0.33,0.35,0.34,0.33,0.4,0.39,0.5,0.48,0.47,1,0.95
fo-2,0.25,0.27,0.3,0.33,0.33,0.32,0.31,0.34,0.33,0.32,0.39,0.38,0.48,0.46,0.45,0.95,1
