participant,anchor,optionA,optionB,chosen,timestamp
Drake,kg-kg-2,st-1,ik-2,st-1,high,2026-01-23T04:27:13.576Z
Drake,ik-2,rh-1,db-bm-1,rh-1,high,2026-01-23T04:27:21.755Z
Drake,rh-1,lcc-kk-1,tcn-tcn-1,lcc-kk-1,high,2026-01-23T04:27:55.625Z
Drake,kg-kg-3,db-1,ik-2,db-1,high,2026-01-23T04:28:06.621Z
Drake,ik-2,ik-5,kg-kg-2,ik-5,high,2026-01-23T04:28:13.460Z
Drake,rh-1,rh-2,db-1,rh-2,high,2026-01-23T04:37:43.089Z
Drake,ik-1,st-3,tcn-tcn-1,tcn-tcn-1,high,2026-01-23T04:37:54.387Z
Drake,ik-5,bi-hot-2,ik-3,ik-3,high,2026-01-23T04:37:58.615Z
Drake,bi-hot-1,ik-2,lcc-kk-1,lcc-kk-1,high,2026-01-23T04:38:07.148Z
Drake,rh-3,ik-1,st-1,st-1,high,2026-01-23T04:38:23.901Z
Drake,rh-1,st-3,bi-hot-1,st-3,low,2026-01-23T04:38:45.539Z
Drake,bi-hot-2,ik-4,kg-kg-3,far,equal,2026-01-23T04:38:59.920Z
Drake,bi-hot-3,kg-kg-3,bi-hot-1,bi-hot-1,high,2026-01-23T04:39:05.942Z
Drake,st-3,tcn-tcn-1,kg-kg-2,kg-kg-2,high,2026-01-23T04:39:09.658Z
Drake,db-bm2-1,sjb-cdl-2,lcc-kk-1,far,equal,2026-01-23T04:39:21.547Z
Drake,kg-kg-2,ik-1,rh-3,rh-3,high,2026-01-23T04:39:36.987Z
Drake,ik-2,st-3,db-1,far,equal,2026-01-23T04:39:47.799Z
Drake,ik-4,db-bm2-1,rh-1,rh-1,low,2026-01-23T04:39:56.801Z
Drake,db-bm2-1,kg-kg-1,sjb-cdl-1,far,equal,2026-01-23T04:40:08.218Z
Drake,kg-kg-1,ik-1,ik-2,ik-2,high,2026-01-23T04:40:19.097Z
Drake,db-pii-1,db-1,lcc-kk-2,db-1,high,2026-01-23T04:40:27.609Z
Drake,st-3,cn-1,tcn-tcn-1,far,equal,2026-01-23T04:40:37.652Z
Drake,db-bm2-1,dbt-rinsed-1,ik-1,close,equal,2026-01-23T04:40:49.423Z
Drake,ik-1,db-pii-1,st-3,db-pii-1,high,2026-01-23T04:41:02.374Z
Drake,kg-kg-1,bi-hot-3,db-pii-1,far,equal,2026-01-23T04:41:13.555Z
Drake,kg-kg-3,ik-1,rh-2,rh-2,low,2026-01-23T04:41:34.629Z
Drake,db-1,db-pii-1,db-bm-1,db-bm-1,high,2026-01-23T04:41:41.699Z
Drake,sjb-cdl-2,db-1,tcn-tcn-1,far,equal,2026-01-23T04:41:55.555Z
Drake,dbt-rinsed-1,ik-4,rh-3,far,equal,2026-01-23T04:42:01.104Z
Drake,kg-kg-2,lcc-kk-2,sjb-cdl-1,far,equal,2026-01-23T04:42:05.949Z
Drake,st-1,rh-3,sjb-cdl-2,sjb-cdl-2,low,2026-01-23T04:42:18.757Z
Drake,kg-kg-3,st-3,bi-hot-1,st-3,high,2026-01-23T04:42:23.307Z
Drake,rh-1,bi-hot-1,st-3,st-3,low,2026-01-23T04:42:30.208Z
Drake,ik-3,lcc-kk-1,kg-kg-3,lcc-kk-1,high,2026-01-23T04:42:34.762Z
Drake,st-1,db-bm-1,lcc-kk-2,lcc-kk-2,high,2026-01-23T04:42:44.653Z
Drake,db-1,ik-3,st-3,ik-3,low,2026-01-23T04:42:50.174Z
Drake,rh-1,bi-hot-1,db-rch-1,bi-hot-1,high,2026-01-23T04:42:56.527Z
Drake,ik-4,ik-1,bi-hot-1,ik-1,low,2026-01-23T04:43:06.316Z
Drake,kg-kg-3,db-pii-1,rh-1,far,equal,2026-01-23T04:43:16.246Z
Drake,kg-kg-2,ik-4,st-1,st-1,low,2026-01-23T04:43:45.723Z
Drake,lcc-kk-1,ik-4,db-rch-1,ik-4,high,2026-01-23T04:43:53.349Z
Drake,tcn-tcn-1,db-bm2-1,bi-hot-3,db-bm2-1,high,2026-01-23T04:43:56.955Z
Drake,lcc-kk-2,rh-2,sjb-cdl-1,sjb-cdl-1,low,2026-01-23T04:44:07.749Z
Drake,st-1,sjb-cdl-1,bi-hot-3,bi-hot-3,high,2026-01-23T04:44:20.067Z
Drake,st-1,st-3,db-bm-1,st-3,high,2026-01-23T04:44:31.766Z
Drake,tcn-tcn-1,db-1,st-1,db-1,low,2026-01-23T04:44:41.944Z
Drake,rh-3,ik-4,rh-1,rh-1,low,2026-01-23T04:44:49.921Z
