participant,anchor,optionA,optionB,chosen,timestamp
p1769133023293,rh-2,db-2,fo-2,fo-2,2026-01-23T01:50:32.299Z
p1769133023293,rh-3,rh-1,fo-2,rh-1,2026-01-23T01:50:36.973Z
p1769133023293,st-1,fo-1,ik-4,ik-4,2026-01-23T01:51:50.230Z
p1769133023293,rh-2,ik-2,ik-1,ik-2,2026-01-23T01:51:57.009Z
p1769133023293,ca-1,ik-3,ik-2,ik-3,2026-01-23T01:52:22.894Z
p1769133023293,db-1,st-2,fo-1,st-2,2026-01-23T01:52:38.900Z
p1769133023293,ca-1,fo-2,db-3,db-3,2026-01-23T01:53:27.279Z
p1769133023293,ik-2,rh-3,fo-2,fo-2,2026-01-23T01:53:30.172Z
p1769133023293,db-1,rh-2,ik-4,ik-4,2026-01-23T01:53:59.235Z
p1769133023293,rh-3,db-1,db-3,db-3,2026-01-23T01:54:09.397Z
p1769133023293,db-2,ca-1,ca-2,ca-1,2026-01-23T01:54:32.247Z
p1769133023293,db-3,ca-1,st-2,ca-1,2026-01-23T01:54:43.104Z
p1769133023293,st-3,ik-3,rh-2,rh-2,2026-01-23T01:54:47.192Z
p1769133023293,ik-1,rh-1,ik-3,ik-3,2026-01-23T01:54:50.023Z
p1769133023293,ca-1,fo-1,st-2,fo-1,2026-01-23T01:54:57.154Z
p1769133023293,rh-3,st-2,ca-2,st-2,2026-01-23T01:55:01.757Z
p1769133023293,ik-4,ca-1,st-2,ca-1,2026-01-23T01:55:05.301Z
p1769133023293,ik-4,rh-3,db-2,db-2,2026-01-23T01:55:22.813Z
p1769133023293,fo-2,ik-3,fo-1,fo-1,2026-01-23T01:55:35.852Z
p1769133023293,st-2,fo-2,st-1,st-1,2026-01-23T01:55:44.136Z
p1769133023293,ik-4,rh-1,rh-2,rh-1,2026-01-23T01:55:52.539Z
p1769133023293,db-3,ik-4,ik-3,ik-3,2026-01-23T01:56:00.354Z
p1769133023293,fo-2,ca-1,db-1,ca-1,2026-01-23T01:56:08.628Z
p1769133023293,ik-4,st-3,fo-1,fo-1,2026-01-23T01:56:19.500Z
p1769133023293,fo-2,rh-1,ik-3,rh-1,2026-01-23T01:56:39.716Z
p1769133023293,rh-2,ca-1,st-1,ca-1,2026-01-23T01:56:59.103Z
p1769133023293,st-2,ca-2,rh-2,rh-2,2026-01-23T01:57:01.128Z
p1769133023293,db-2,st-1,ca-1,ca-1,2026-01-23T01:57:03.628Z
p1769133023293,st-3,ik-1,ik-2,ik-2,2026-01-23T01:57:05.906Z
p1769133023293,st-1,db-1,ik-1,ik-1,2026-01-23T01:57:21.204Z
p1769133023293,rh-2,st-3,db-3,st-3,2026-01-23T01:57:23.815Z
p1769133023293,rh-2,fo-2,db-3,fo-2,2026-01-23T01:57:27.446Z
p1769133023293,st-3,ik-4,rh-3,rh-3,2026-01-23T01:57:34.194Z
p1769133023293,fo-2,ik-4,db-2,ik-4,2026-01-23T01:57:50.782Z
p1769133023293,ca-2,ik-1,fo-2,fo-2,2026-01-23T01:58:09.387Z
p1769133023293,ik-3,fo-1,rh-2,fo-1,2026-01-23T01:58:14.475Z
p1769133023293,db-3,ca-2,ca-1,ca-1,2026-01-23T01:58:19.916Z
p1769133023293,rh-2,fo-2,st-1,st-1,2026-01-23T01:58:47.177Z
p1769133023293,db-2,ik-3,ik-1,ik-3,2026-01-23T01:58:50.560Z
p1769133023293,db-1,fo-1,ik-3,ik-3,2026-01-23T01:58:57.626Z
p1769133023293,ca-1,db-1,rh-1,db-1,2026-01-23T01:59:02.447Z
p1769133023293,st-2,ca-2,ik-3,ca-2,2026-01-23T01:59:08.992Z
p1769133023293,rh-2,ik-4,ca-1,ca-1,2026-01-23T01:59:11.450Z
p1769133023293,ik-3,st-3,ik-2,ik-2,2026-01-23T01:59:17.482Z
p1769133023293,rh-3,ca-1,db-1,db-1,2026-01-23T01:59:29.070Z
p1769133023293,db-1,db-3,ca-2,db-3,2026-01-23T01:59:33.345Z
p1769133023293,fo-2,st-3,st-1,st-1,2026-01-23T01:59:36.092Z
p1769133023293,db-3,db-1,fo-1,db-1,2026-01-23T01:59:41.286Z
p1769133023293,ca-1,db-2,st-2,db-2,2026-01-23T01:59:46.686Z
p1769133023293,db-1,ca-2,fo-2,fo-2,2026-01-23T01:59:53.216Z
